date,close,compound_gn,negative_gn,neutral_gn,positive_gn,compound_tw,negative_tw,neutral_tw,positive_tw,open,high,low,volume
2021-01-19,0.7760624457485154,0.2732,0.0,0.932,0.068,-0.7096,0.149,0.851,0.0,0.7721746748627637,0.7676631828714778,0.7810595540774473,0.1479580133435403
2021-01-20,0.7602615208437853,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7766771511010306,0.7727803362298383,0.7710267392752771,0.1115866499214044
2021-01-21,0.7697057717301039,0.3612,0.0,0.877,0.123,0.4588,0.044,0.839,0.117,0.7523638068953236,0.7813986961758856,0.7833098856726463,0.1415722929476474
2021-01-22,0.7679803590897278,0.0,0.0,1.0,0.0,0.7184,0.0,0.896,0.104,0.7495722249100102,0.7608402888961185,0.7725269364931592,0.1406509402864311
2021-01-26,0.7550853522052073,0.743,0.052,0.754,0.193,0.3592,0.0,0.9480000000000001,0.052,0.758577177386544,0.7639824570837768,0.775996254335686,0.135787004623109
2021-01-27,0.7319287681848292,-0.4019,0.181,0.667,0.152,-0.296,0.176,0.824,0.0,0.7351643146880235,0.7372295757676545,0.7463665902624352,0.1766409040262185
2021-01-28,0.7491826867409392,0.34,0.0,0.924,0.076,0.34,0.059,0.821,0.121,0.7154434467796674,0.7387557286920028,0.745428958059165,0.1956079102294119
2021-01-29,0.7205775150929872,0.0,0.0,1.0,0.0,0.17,0.0295,0.9109999999999999,0.0605,0.731562319956943,0.7342669952726467,0.7425222767680018,0.1715296034260588
2021-02-01,0.7507264405336177,-0.4019,0.11,0.89,0.0,0.0,0.0,1.0,0.0,0.7317424574797814,0.7380375149066731,0.7499296927863145,0.1478495868624155
2021-02-02,0.7179440853443243,-0.0516,0.072,0.833,0.094,0.2023,0.118,0.749,0.133,0.7332732829122316,0.7318431093629543,0.7398968779841444,0.1875761777758405
2021-02-03,0.7430984317115241,0.7003,0.042,0.824,0.134,0.4215,0.099,0.745,0.155,0.7212966796298814,0.7393841486310073,0.7501171906122679,0.1871386578545178
2021-02-04,0.7327460944343681,0.5106,0.0,0.924,0.076,0.8591,0.015,0.867,0.118,0.7492120185666689,0.7524015166427218,0.7547116384840182,0.1631284581372984
2021-02-05,0.7636215167006886,0.9274,0.0,0.811,0.189,0.7906,0.0,0.759,0.241,0.733453351732735,0.7515037151647413,0.7590248753852142,0.1477368015277781
2021-02-08,0.7756084371943721,-0.5719,0.201,0.712,0.087,0.6908,0.0,0.612,0.388,0.7583971085660408,0.7707155572128109,0.7862165669638096,0.1534556173362501
2021-02-09,0.7777878583888914,0.4767,0.0,0.889,0.111,0.0,0.179,0.643,0.179,0.7730751563699501,0.773498550015168,0.7849976522532333,0.1760072356968308
2021-02-10,0.7818742817889345,0.3612,0.129,0.681,0.19,0.0,0.0,1.0,0.0,0.77361550023613,0.7775383826955341,0.8043131474802564,0.2196769544690507
2021-02-11,0.7673446916878867,0.875,0.0,0.836,0.164,0.0,0.0,1.0,0.0,0.7809094897573751,0.7757429167248461,0.7923112835901935,0.107750313973667
2021-02-12,0.7745186919558369,-0.6808,0.166,0.789,0.045,0.0,0.0,1.0,0.0,0.7597478651779881,0.7638028693911262,0.7838724506872582,0.0804246613034606
2021-02-17,0.796857949726676,0.0516,0.12,0.757,0.124,0.6808,0.0,0.882,0.118,0.7857721723389836,0.7869647502732363,0.8119081328612741,0.159440868065677
2021-02-18,0.8063930300368436,0.5267,0.0,0.876,0.124,0.875,0.049,0.686,0.265,0.7979288444418369,0.8020468973019782,0.8196905445314937,0.1802849055627143
2021-02-19,0.8097529566111965,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7965780878298898,0.8060867299823441,0.8225972973594085,0.1360321901331902
2021-02-22,0.7877769472532024,0.3182,0.151,0.654,0.194,0.0,0.0,1.0,0.0,0.7901845798158311,0.8031241494873363,0.8011251836817873,0.2733033843773241
2021-02-23,0.8023065373542502,0.6908,0.0,0.856,0.144,0.0,0.0,1.0,0.0,0.7909949925615982,0.7926205297242759,0.794374117359439,0.1948200474570176
2021-02-24,0.8112059502625766,-0.2732,0.099,0.803,0.098,0.6808,0.0,0.789,0.211,0.7958576751432066,0.8003411566849793,0.8181903473136116,0.1190844228196878
2021-02-25,0.7910461136862569,-0.5574,0.124,0.816,0.06,0.5859,0.059,0.804,0.137,0.8099954477832713,0.8069844629676882,0.810314079425288,0.1333318803821624
2021-02-26,0.780239698572407,-0.765,0.202,0.798,0.0,0.7269,0.059,0.819,0.122,0.7906348549205917,0.795762629419298,0.8009376143190824,0.2335037826675638
2021-03-01,0.8170177863029956,0.4588,0.0,0.875,0.125,0.36345,0.0295,0.9095,0.061,0.7856821035775643,0.8103959442016858,0.8135021147605088,0.1787020968809679
2021-03-02,0.8445332127124128,-0.4019,0.117,0.78,0.103,0.181725,0.01475,0.95475,0.0305,0.7991895322923648,0.8359817109934884,0.8095640165847227,0.2591654430093524
2021-03-03,0.8331819596205706,-0.296,0.084,0.916,0.0,0.5859,0.08,0.638,0.282,0.8397118184367665,0.8523206979002391,0.8537271586505415,0.2259700492278018
2021-03-04,0.8196512853342091,-0.0516,0.081,0.845,0.074,0.5267,0.0,0.899,0.101,0.8162989557382458,0.8297872369571332,0.8337552421908023,0.2642146299469582
2021-03-05,0.8319106248168884,0.0,0.0,1.0,0.0,0.26335,0.0,0.9495,0.0505,0.7741557753999748,0.8217972969500904,0.8000937667971646,0.2533763406879905
2021-03-08,0.8270068751673066,0.7351,0.0,0.676,0.324,0.8481,0.0,0.784,0.216,0.8144979240215381,0.8337373442838104,0.8466948098208872,0.2161844230921162
